,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Present_Price,Selling_Price
255,40324,1,1,1,0,4,13.6,8.5
256,25000,1,1,1,0,4,13.6,8.4
257,36054,1,1,1,0,5,7.0,3.9
258,29223,1,1,1,0,3,13.6,9.15
259,5600,1,1,1,0,3,5.97,5.5
260,40023,1,1,1,0,4,5.8,4.0
261,16002,1,1,1,0,3,7.7,6.6
262,40026,1,1,1,0,4,7.0,4.0
263,21200,1,1,1,0,2,8.7,6.5
264,35000,1,1,1,0,5,7.0,3.65
265,19434,2,1,1,0,3,9.4,8.35
266,19000,1,1,1,0,2,5.8,4.8
267,18828,1,1,1,0,4,10.0,6.7
268,69341,1,1,1,0,8,10.0,4.1
269,69562,1,1,1,0,10,10.0,3.0
270,27600,1,1,1,0,4,10.0,7.5
271,61203,1,1,1,0,9,7.5,2.25
272,16500,1,1,1,0,5,6.8,5.3
273,30753,1,1,2,0,3,13.6,10.9
274,24800,1,1,1,0,4,13.6,8.65
275,21780,1,1,1,0,4,13.6,9.7
276,4000,1,1,1,0,3,8.4,6.0
277,40126,1,1,1,0,5,13.6,6.25
278,14465,1,1,1,0,4,5.9,5.25
279,50456,1,1,1,0,13,7.6,2.1
280,63000,2,1,1,0,5,14.0,8.25
281,9010,1,1,1,0,3,11.8,8.99
282,9800,1,1,1,0,6,5.9,3.5
283,15059,1,1,2,0,3,8.5,7.4
284,28569,1,1,1,0,3,7.9,5.65
285,44000,1,1,2,0,4,7.5,5.75
286,34000,1,1,1,0,4,13.6,8.4
287,10980,1,1,1,0,3,13.6,10.11
288,19000,1,1,1,0,5,6.4,4.5
289,31427,1,1,1,0,4,6.1,5.4
290,12000,1,1,1,0,3,8.4,6.4
291,38000,1,1,1,0,9,9.9,3.25
292,33019,1,1,1,0,5,6.8,3.75
293,60076,2,1,1,0,4,13.09,8.55
294,33988,2,1,1,0,3,11.6,9.5
295,60000,1,1,1,0,4,5.9,4.0
296,87934,1,1,1,0,10,11.0,3.35
297,9000,2,1,1,0,2,12.5,11.5
298,5464,1,1,1,0,3,5.9,5.3
